pair_indices,document1_text_preview,document2_text_preview,full_prompt,raw_llm_response,cleaned_llm_response,constraint_type,doc1_full_text,doc2_full_text
"(294, 778)",Can it be delivered by a specific date?...,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...","Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Can it be delivered by a specific date?
Snippet 2: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",NO,NO,Cannot-Link,Can it be delivered by a specific date?,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more"
"(89, 1883)",what are exchange rates based on...,I would like to delete my account please....,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: I would like to delete my account please.",NO,NO,Cannot-Link,what are exchange rates based on,I would like to delete my account please.
"(89, 1947)",what are exchange rates based on...,The stupid machine just swallowed my card!! I need a new one ASAP...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: The stupid machine just swallowed my card!! I need a new one ASAP",NO,NO,Cannot-Link,what are exchange rates based on,The stupid machine just swallowed my card!! I need a new one ASAP
"(1292, 1304)",Do I get a choice between Visa and Mastercard?...,Do I get to choose between Visa and Mastercard?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Do I get a choice between Visa and Mastercard?
Snippet 2: Do I get to choose between Visa and Mastercard?",YES,YES,Must-Link,Do I get a choice between Visa and Mastercard?,Do I get to choose between Visa and Mastercard?
"(2607, 2630)",How do the disposable cards work?...,How do disposable cards work?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: How do the disposable cards work?
Snippet 2: How do disposable cards work?",YES,YES,Must-Link,How do the disposable cards work?,How do disposable cards work?
"(4, 30)",My card has not arrived yet....,My card hasn't arrived yet....,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: My card has not arrived yet.
Snippet 2: My card hasn't arrived yet.",YES,YES,Must-Link,My card has not arrived yet.,My card hasn't arrived yet.
"(2089, 2103)",Why has my card payment been cancelled?...,Why was my card payment cancelled?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Why has my card payment been cancelled?
Snippet 2: Why was my card payment cancelled?",YES,YES,Must-Link,Why has my card payment been cancelled?,Why was my card payment cancelled?
"(89, 1547)",what are exchange rates based on...,I have forgotten my password....,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: I have forgotten my password.",NO,NO,Cannot-Link,what are exchange rates based on,I have forgotten my password.
"(89, 1675)",what are exchange rates based on...,I lost my phone!...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: I lost my phone!",NO,NO,Cannot-Link,what are exchange rates based on,I lost my phone!
"(738, 754)",Is there a limit to top-ups?...,Is there a limit for top-ups?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Is there a limit to top-ups?
Snippet 2: Is there a limit for top-ups?",YES,YES,Must-Link,Is there a limit to top-ups?,Is there a limit for top-ups?
"(2275, 2278)",Can I get paid in a different currency?...,Can I get paid in another currency?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Can I get paid in a different currency?
Snippet 2: Can I get paid in another currency?",YES,YES,Must-Link,Can I get paid in a different currency?,Can I get paid in another currency?
"(2056, 2072)",How long do i have to wait for a transfer to reach my account?...,How long to I have to wait for a transfer to reach my account?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: How long do i have to wait for a transfer to reach my account?
Snippet 2: How long to I have to wait for a transfer to reach my account?",YES,YES,Must-Link,How long do i have to wait for a transfer to reach my account?,How long to I have to wait for a transfer to reach my account?
"(2441, 2463)",How do I top-up using cash?...,How can I top up with cash?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: How do I top-up using cash?
Snippet 2: How can I top up with cash?",YES,YES,Must-Link,How do I top-up using cash?,How can I top up with cash?
"(742, 754)",Is there a limit on top-ups?...,Is there a limit for top-ups?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Is there a limit on top-ups?
Snippet 2: Is there a limit for top-ups?",YES,YES,Must-Link,Is there a limit on top-ups?,Is there a limit for top-ups?
"(366, 375)",Why is my card not working?...,Why isn't my card working?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Why is my card not working?
Snippet 2: Why isn't my card working?",YES,YES,Must-Link,Why is my card not working?,Why isn't my card working?
"(965, 985)",Can my card be used everywhere?...,Can I use my card everywhere?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Can my card be used everywhere?
Snippet 2: Can I use my card everywhere?",YES,YES,Must-Link,Can my card be used everywhere?,Can I use my card everywhere?
"(778, 1558)","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...",Can you tell me what to do to reset my passcode?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more
Snippet 2: Can you tell me what to do to reset my passcode?",NO,NO,Cannot-Link,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",Can you tell me what to do to reset my passcode?
"(2771, 2774)",Is there a fee to exchange foreign money?...,Is there a fee for exchanging foreign currencies?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Is there a fee to exchange foreign money?
Snippet 2: Is there a fee for exchanging foreign currencies?",YES,YES,Must-Link,Is there a fee to exchange foreign money?,Is there a fee for exchanging foreign currencies?
"(89, 1647)",what are exchange rates based on...,"I'm not sure where my phone is, I think someone stole it or it's lost....","Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: I'm not sure where my phone is, I think someone stole it or it's lost.",NO,NO,Cannot-Link,what are exchange rates based on,"I'm not sure where my phone is, I think someone stole it or it's lost."
"(778, 3062)","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...",What countries do you support?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more
Snippet 2: What countries do you support?",NO,NO,Cannot-Link,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",What countries do you support?
"(778, 1259)","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...",what is the process for setting up a pin...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more
Snippet 2: what is the process for setting up a pin",NO,NO,Cannot-Link,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",what is the process for setting up a pin
"(888, 890)",Can I use my American Express to add money to my account?...,Can I use American Express to add money into my account?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Can I use my American Express to add money to my account?
Snippet 2: Can I use American Express to add money into my account?",YES,YES,Must-Link,Can I use my American Express to add money to my account?,Can I use American Express to add money into my account?
"(2374, 2375)",Why does the top-up need verification?...,Why does top-up need verifying?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Why does the top-up need verification?
Snippet 2: Why does top-up need verifying?",YES,YES,Must-Link,Why does the top-up need verification?,Why does top-up need verifying?
"(952, 957)",Where can I go to get a virtual card?...,Where can I get a virtual card?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Where can I go to get a virtual card?
Snippet 2: Where can I get a virtual card?",YES,YES,Must-Link,Where can I go to get a virtual card?,Where can I get a virtual card?
"(2442, 2473)",Can I top up with a cheque?...,Can I top up my account with a cheque?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Can I top up with a cheque?
Snippet 2: Can I top up my account with a cheque?",YES,YES,Must-Link,Can I top up with a cheque?,Can I top up my account with a cheque?
"(2331, 2358)",I would like to transfer some money from my other bank account into this one....,I would like to transfer money from my other bank account into this one....,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I would like to transfer some money from my other bank account into this one.
Snippet 2: I would like to transfer money from my other bank account into this one.",YES,YES,Must-Link,I would like to transfer some money from my other bank account into this one.,I would like to transfer money from my other bank account into this one.
"(3010, 3022)",What are the steps I need to take to verify my identity?...,What steps do I take to verify my identity?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: What are the steps I need to take to verify my identity?
Snippet 2: What steps do I take to verify my identity?",YES,YES,Must-Link,What are the steps I need to take to verify my identity?,What steps do I take to verify my identity?
"(2249, 2261)",Can I use this to receive my salary?...,Can this be used to receive my salary?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Can I use this to receive my salary?
Snippet 2: Can this be used to receive my salary?",YES,YES,Must-Link,Can I use this to receive my salary?,Can this be used to receive my salary?
"(1203, 1222)",I am having trouble verifying my identity....,I am having difficulties to verify my identity....,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I am having trouble verifying my identity.
Snippet 2: I am having difficulties to verify my identity.",YES,YES,Must-Link,I am having trouble verifying my identity.,I am having difficulties to verify my identity.
"(778, 3055)","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...",Is it possible to get a card if I'm not in the UK?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more
Snippet 2: Is it possible to get a card if I'm not in the UK?",NO,NO,Cannot-Link,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",Is it possible to get a card if I'm not in the UK?
"(592, 595)",How do I use contactless payments?...,How do I use contactless pay?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: How do I use contactless payments?
Snippet 2: How do I use contactless pay?",YES,YES,Must-Link,How do I use contactless payments?,How do I use contactless pay?
"(2362, 2385)",Where can I find the top-up verification code?...,Where do I find the top-up verification code?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Where can I find the top-up verification code?
Snippet 2: Where do I find the top-up verification code?",YES,YES,Must-Link,Where can I find the top-up verification code?,Where do I find the top-up verification code?
"(618, 2838)",What are the fees for top-ups?...,What are the fees for top ups?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: What are the fees for top-ups?
Snippet 2: What are the fees for top ups?",YES,YES,Must-Link,What are the fees for top-ups?,What are the fees for top ups?
"(778, 1142)","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...",Where can I go to update my personal profile?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more
Snippet 2: Where can I go to update my personal profile?",NO,NO,Cannot-Link,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",Where can I go to update my personal profile?
"(2970, 2985)",How can I top up my Google Pay?...,How can I top up with Google Pay?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: How can I top up my Google Pay?
Snippet 2: How can I top up with Google Pay?",NO,NO,Cannot-Link,How can I top up my Google Pay?,How can I top up with Google Pay?
"(778, 1380)","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...",I would like to know any restrictions for the disposable cards....,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more
Snippet 2: I would like to know any restrictions for the disposable cards.",NO,NO,Cannot-Link,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",I would like to know any restrictions for the disposable cards.
"(89, 1896)",what are exchange rates based on...,I need your help in deleting my account....,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: I need your help in deleting my account.",NO,NO,Cannot-Link,what are exchange rates based on,I need your help in deleting my account.
"(778, 2600)","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...",can i get a description of how to use a disposable virtual card...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more
Snippet 2: can i get a description of how to use a disposable virtual card",NO,NO,Cannot-Link,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",can i get a description of how to use a disposable virtual card
"(778, 1279)","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...",where can user find pin?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more
Snippet 2: where can user find pin?",NO,NO,Cannot-Link,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",where can user find pin?
"(89, 1670)",what are exchange rates based on...,I am not able to use the app since I forgot my phone at the hotel I was staying at....,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: I am not able to use the app since I forgot my phone at the hotel I was staying at.",NO,NO,Cannot-Link,what are exchange rates based on,I am not able to use the app since I forgot my phone at the hotel I was staying at.
"(1335, 1352)",How do I transfer money using a credit card?...,How do i transfer money using my credit card?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: How do I transfer money using a credit card?
Snippet 2: How do i transfer money using my credit card?",YES,YES,Must-Link,How do I transfer money using a credit card?,How do i transfer money using my credit card?
"(45, 89)","I received my new card, but I don't see it in the app anywhere.  What do I do?...",what are exchange rates based on...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I received my new card, but I don't see it in the app anywhere.  What do I do?
Snippet 2: what are exchange rates based on",NO,NO,Cannot-Link,"I received my new card, but I don't see it in the app anywhere.  What do I do?",what are exchange rates based on
"(89, 1889)",what are exchange rates based on...,I would like to delete my account....,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: I would like to delete my account.",NO,NO,Cannot-Link,what are exchange rates based on,I would like to delete my account.
"(89, 1898)",what are exchange rates based on...,Delete this account!...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: Delete this account!",NO,NO,Cannot-Link,what are exchange rates based on,Delete this account!
"(3046, 3074)","I'm not in the UK, can I still get a card?...","I'm not in the UK, can I get a card?...","Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I'm not in the UK, can I still get a card?
Snippet 2: I'm not in the UK, can I get a card?",YES,YES,Must-Link,"I'm not in the UK, can I still get a card?","I'm not in the UK, can I get a card?"
"(2767, 2774)",Is there a fee for exchanging currencies?...,Is there a fee for exchanging foreign currencies?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Is there a fee for exchanging currencies?
Snippet 2: Is there a fee for exchanging foreign currencies?",YES,YES,Must-Link,Is there a fee for exchanging currencies?,Is there a fee for exchanging foreign currencies?
"(513, 514)",How old do my kids have to be to use your service?...,What age do my kids need to be to use your service?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: How old do my kids have to be to use your service?
Snippet 2: What age do my kids need to be to use your service?",YES,YES,Must-Link,How old do my kids have to be to use your service?,What age do my kids need to be to use your service?
"(1249, 2572)",where in the app can i find out about my new pin...,Why is the exchange rate so exorbitant? This should have been a much higher amount of cash for that ...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: where in the app can i find out about my new pin
Snippet 2: Why is the exchange rate so exorbitant? This should have been a much higher amount of cash for that to apply.",NO,NO,Cannot-Link,where in the app can i find out about my new pin,Why is the exchange rate so exorbitant? This should have been a much higher amount of cash for that to apply.
"(738, 742)",Is there a limit to top-ups?...,Is there a limit on top-ups?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Is there a limit to top-ups?
Snippet 2: Is there a limit on top-ups?",YES,YES,Must-Link,Is there a limit to top-ups?,Is there a limit on top-ups?
"(3018, 3030)",What should I do to verify my identity?...,What can I do to verify my identity?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: What should I do to verify my identity?
Snippet 2: What can I do to verify my identity?",YES,YES,Must-Link,What should I do to verify my identity?,What can I do to verify my identity?
"(778, 1174)","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...",What is the purpose for the identity check...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more
Snippet 2: What is the purpose for the identity check",NO,NO,Cannot-Link,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",What is the purpose for the identity check
"(89, 1272)",what are exchange rates based on...,Help me find my card pin!...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: Help me find my card pin!",NO,NO,Cannot-Link,what are exchange rates based on,Help me find my card pin!
"(1193, 1197)",Do I need to verify my identity?...,Do I have to verify my identity?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Do I need to verify my identity?
Snippet 2: Do I have to verify my identity?",YES,YES,Must-Link,Do I need to verify my identity?,Do I have to verify my identity?
"(89, 1891)",what are exchange rates based on...,I don't like your company. Delete my account....,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: I don't like your company. Delete my account.",NO,NO,Cannot-Link,what are exchange rates based on,I don't like your company. Delete my account.
"(515, 516)",How old do my children need to be to open an account?...,How old does my kids need to be to open an account?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: How old do my children need to be to open an account?
Snippet 2: How old does my kids need to be to open an account?",YES,YES,Must-Link,How old do my children need to be to open an account?,How old does my kids need to be to open an account?
"(920, 940)",Where can I obtain my virtual card?...,Where do I obtain my virtual card?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Where can I obtain my virtual card?
Snippet 2: Where do I obtain my virtual card?",YES,YES,Must-Link,Where can I obtain my virtual card?,Where do I obtain my virtual card?
"(497, 511)",How old do I have to be to open an account?...,How old do I need to be to open an account?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: How old do I have to be to open an account?
Snippet 2: How old do I need to be to open an account?",YES,YES,Must-Link,How old do I have to be to open an account?,How old do I need to be to open an account?
"(89, 1537)",what are exchange rates based on...,Show me please how to reset my passcode....,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: Show me please how to reset my passcode.",NO,NO,Cannot-Link,what are exchange rates based on,Show me please how to reset my passcode.
"(89, 1656)",what are exchange rates based on...,My phone is not with me at the moment so I will not be able to access the app....,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: My phone is not with me at the moment so I will not be able to access the app.",NO,NO,Cannot-Link,what are exchange rates based on,My phone is not with me at the moment so I will not be able to access the app.
"(1241, 1273)",Is the PIN delivered separately?...,Is PIN delivered separately?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Is the PIN delivered separately?
Snippet 2: Is PIN delivered separately?",YES,YES,Must-Link,Is the PIN delivered separately?,Is PIN delivered separately?
"(3019, 3022)",What are the steps to verify my identity?...,What steps do I take to verify my identity?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: What are the steps to verify my identity?
Snippet 2: What steps do I take to verify my identity?",YES,YES,Must-Link,What are the steps to verify my identity?,What steps do I take to verify my identity?
"(3010, 3019)",What are the steps I need to take to verify my identity?...,What are the steps to verify my identity?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: What are the steps I need to take to verify my identity?
Snippet 2: What are the steps to verify my identity?",YES,YES,Must-Link,What are the steps I need to take to verify my identity?,What are the steps to verify my identity?
"(2440, 2454)",Can I top up by cheque?...,Can I top up using a cheque?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Can I top up by cheque?
Snippet 2: Can I top up using a cheque?",YES,YES,Must-Link,Can I top up by cheque?,Can I top up using a cheque?
"(778, 1176)","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...",What is the point of an identity check?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more
Snippet 2: What is the point of an identity check?",NO,NO,Cannot-Link,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",What is the point of an identity check?
"(89, 545)",what are exchange rates based on...,Can you assist me with unblocking my PIN? I put it in wrong too many times....,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: Can you assist me with unblocking my PIN? I put it in wrong too many times.",NO,NO,Cannot-Link,what are exchange rates based on,Can you assist me with unblocking my PIN? I put it in wrong too many times.
"(778, 3043)","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...",What countries are supported?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more
Snippet 2: What countries are supported?",NO,NO,Cannot-Link,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",What countries are supported?
"(89, 1219)",what are exchange rates based on...,I can not get the app to know it is me....,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: I can not get the app to know it is me.",NO,NO,Cannot-Link,what are exchange rates based on,I can not get the app to know it is me.
"(778, 1249)","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...",where in the app can i find out about my new pin...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more
Snippet 2: where in the app can i find out about my new pin",NO,NO,Cannot-Link,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",where in the app can i find out about my new pin
